Assessment Name,Remote Testing,Adaptive/IRT,Duration,Test Type,URL
Contact Center Sales & Service + 8.0,Yes,No,41,"P, B, C, A, S",https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/
Contact Center Sales & Service 8.0,Yes,No,31,"S, B, C, P",https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/
Contact Center Team Lead/Coach - Short Form,Yes,Yes,45,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/
Contact Centre Agent Solution - UK,Yes,No,39,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/
Customer Service - Short Form,Yes,Yes,42,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/
Customer Service - Short Form - UK,Yes,Yes,42,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/
Customer Service with Sales - Short Form,Yes,Yes,44,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/
Director - Short Form,Yes,Yes,69,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/director-short-form/
District/Regional Manager Solution,Yes,Yes,65,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/
Entry Level Cashier 7.1 (Americas),Yes,No,18,"B, P, A",https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/
Entry Level Cashier 7.1 (International),Yes,No,18,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/
Entry Level Customer Service 7.1 (Americas),Yes,No,19,"C, P",https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/
Entry Level Customer Service 7.1 (International),Yes,No,19,"C, P",https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/
Entry Level Customer Service 7.1 (South Africa),Yes,No,19,"C, P",https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/
Entry level Sales 7.1 (Americas),Yes,No,20,"B, C, P",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/
Entry level Sales 7.1 (International),Yes,No,20,"P, B, C",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/
Entry Level Sales Sift Out 7.1,Yes,No,20,"C, P, B",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/
Event Sales Manager Solution,Yes,Yes,50,"S, A, B, P",https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/
Executive - Short Form,Yes,Yes,74,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/
Financial Professional - Short Form,Yes,No,35,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/
Financial Services Representative Solution,Yes,No,44,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/
Front Desk Associate Solution,Yes,Yes,50,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/
Gaming Associate Solution,Yes,Yes,50,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/
Gaming Manager Solution,Yes,Yes,55,"S, A, B, K, P",https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/
General Entry Level - All Industries 7.0 Solution,Yes,No,19,B,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/
General Entry Level - All Industries 7.1 Solution,Yes,No,19,B,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/
General Entry Level - All Industries 7.1(Americas),Yes,No,19,B,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/
General Entry Level – Data Entry 7.0 Solution,Yes,No,24,"B, K",https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/
Graduate + 8.0 Job Focused Assessment,Yes,No,30,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/
Graduate 7.1 Job Focused Assessment,Yes,No,19,"B, C",https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/
Graduate 8.0 Job Focused Assessment,Yes,No,20,"P, B",https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/
Guest Service Team 7.0 Solution,Yes,No,18,B,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/
Guest Services Associate Solution,Yes,Yes,48,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/
Healthcare Aide 7.0 Solution,Yes,No,22,B,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/
Healthcare Call Center Agent Solution,Yes,Yes,44,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/
Healthcare Service Associate Solution,Yes,Yes,37,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/
Healthcare Support Specialist Solution,Yes,Yes,30,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/
Home Health Aide Solution,Yes,Yes,41,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/
Hospitality Manager Solution,Yes,Yes,57,"A, B, K, P",https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/
Host Solution,Yes,Yes,30,"B, P",https://www.shl.com/solutions/products/product-catalog/view/host-solution/
Industrial - Entry Level 7.0 Solution,Yes,No,20,B,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/
Industrial - Entry Level 7.1 (Americas),Yes,No,20,B,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/
Industrial - Entry Level 7.1 (International),Yes,No,20,B,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/
Industrial - Professional and Skilled 7.0 Solution,Yes,Yes,49,"A, B",https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/
Industrial - Semi-skilled 7.1 (Americas),Yes,No,24,B,https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/
Industrial - Semi-skilled 7.1 (International),Yes,No,24,B,https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/
Industrial Professional and Skilled 7.1 (Americas),Yes,No,49,"A, B",https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/
Industrial Professional and Skilled 7.1 Solution,Yes,No,49,"A, B",https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/
Installation and Repair Technician Solution,Yes,Yes,49,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/
Insurance Account Manager Solution,Yes,Yes,48,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/
Insurance Administrative Assistant Solution,Yes,Yes,24,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/
Insurance Agent Solution,Yes,Yes,46,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/
Insurance Director Solution,Yes,Yes,49,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/
Insurance Sales Manager Solution,Yes,Yes,51,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/
Manager - Short Form,Yes,Yes,57,"A, B, K, P, S",https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/
Manager + 7.0 Solution,Yes,Yes,53,"A, B, C",https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/
Manager + 7.1 (Americas),Yes,Yes,63,"B, C, P",https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/
Manager + 7.1 (International),Yes,Yes,63,"B, C, P",https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/
Manager 7.0 Solution,Yes,No,35,"B, C",https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/
Manager 7.1 (Americas),Yes,No,40,"B, C, P",https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/
Manager 7.1 (International),Yes,No,40,"B, C, P",https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/
Manager 8.0 JFA,Yes,No,26,"B, K, P",https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/
Manager 8.0+ JFA,Yes,No,44,"B, K, P",https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/
Manufacturing Production Team Member,Yes,No,35,"A, B",https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/
Manufacturing Skilled Maintenance Worker,Yes,No,45,"A, B",https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/
Network Engineer/Analyst Solution,Yes,Yes,41,"P, S, K, B, A",https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/
Nurse Leader Solution,Yes,Yes,59,"S, A, B, P",https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/
Nurse Solution,Yes,Yes,66,"P, A, B",https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/
Nursing Assistant Solution,Yes,No,41,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/
Personal Banker - Short Form,Yes,No,30,"A, B, K, P, S",https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/
Phone Banker - Short Form,Yes,No,40,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/
Prep/Line Cook Solution,Yes,Yes,24,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/
Professional + 7.0 Solution,Yes,Yes,51,"A, B, C",https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/
Professional + 7.1 (Americas),Yes,Yes,56,"B, C, P",https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/
Professional + 7.1 (International),Yes,Yes,56,"B, C, P",https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/
Professional 7.0 Solution,Yes,No,33,"B, C",https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/
Professional 7.1 (International),Yes,No,33,"C, B",https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/
Professional 8.0 JFA,Yes,No,16,"B, K, P",https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/
Professional/Individual Contributor - Short Form,Yes,Yes,44,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/
Project Manager - Short Form,Yes,Yes,49,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/
Proof Operator - Processing Specialist -Short Form,Yes,No,30,S,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/
Reservation Agent Solution,Yes,Yes,43,"A, P, S, B",https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/
Restaurant Manager Solution,Yes,Yes,48,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/
Restaurant Supervisor Solution,Yes,Yes,53,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/
Retail Consultant Solution,Yes,Yes,45,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/
Retail Manager w/ Sales Solution,Yes,Yes,43,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/
Retail Sales Associate Solution,Yes,Yes,29,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/
Sales Director Solution,Yes,Yes,59,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/
Sales Engineer Solution,Yes,Yes,61,"A, B, K, P, S",https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/
Sales Manager Solution,Yes,Yes,63,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/
Sales Professional 7.0 Solution,Yes,No,21,"C, B",https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/
Sales Professional 7.1 (Americas),Yes,No,21,"B, C",https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/
Sales Professional Solution,Yes,Yes,47,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/
Sales Representative Solution,Yes,Yes,29,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/
Sales Supervisor Solution,Yes,Yes,38,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/
Sales Support Specialist Solution,Yes,Yes,43,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/
Senior Insurance Agent Solution,Yes,No,44,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/
Senior Sales Professional Solution,Yes,Yes,42,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/
Server Solution,Yes,Yes,40,"B, A, P",https://www.shl.com/solutions/products/product-catalog/view/server-solution/
Service Associate Solution,Yes,Yes,38,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/
Service Supervisor Solution,Yes,Yes,48,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/
Stock Clerk Solution,Yes,No,25,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/
Store Manager 7.0 Solution,Yes,No,34,"B, C",https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/
Store Manager 7.1 (Americas),Yes,No,34,"B, C",https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/
Store Manager 7.1 (International),Yes,No,34,"C, B",https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/
Store Manager Solution,Yes,Yes,49,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/
Supervisor - Short Form,Yes,Yes,57,S,https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/
Supervisor 7.0 Solution,Yes,No,32,"B, C",https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/
Supervisor 7.1 (Americas),Yes,No,29,"B, C, P",https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/
Supervisor 7.1 (International),Yes,No,29,"P, C, B",https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/
Support Associate Solution,Yes,Yes,38,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/
Support Supervisor Solution,Yes,Yes,39,"A, P, S, B",https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/
Technical Sales Associate Solution,Yes,No,41,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/
Technician/Technologist Solution,Yes,Yes,52,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/
Technology Professional 8.0 Job Focused Assessment,Yes,No,16,"C, P",https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/
Telenurse Solution,Yes,Yes,68,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/
Teller 7.0,Yes,Yes,35,"B, K, P, S",https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/
Teller with Sales - Short Form,Yes,No,35,"A, B, K, P, S",https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/
Transcriptionist Solution,Yes,Yes,33,"A, B, K, P",https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/
Workplace Safety - Individual 7.0 Solution,Yes,No,16,B,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/
Workplace Safety - Individual 7.1 (Americas),Yes,No,16,B,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/
Workplace Safety - Team 7.0 Solution,Yes,No,20,B,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/
Workplace Safety - Team 7.1 (Americas),Yes,No,20,"B, C, P",https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/
Workplace Safety - Team 7.1 (International),Yes,No,20,"B, C, P",https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/
Workplace Safety Solution,Yes,Yes,21,"B, P",https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/
